Num  Name,Epoch,q,e,i,w,Node,Tp,Ref,
C/2004 W10 (SOHO),53338,0.0467,1,25.97,25.29,82.11,20041129.26,SAO,_2008
C/2004 W11 (SOHO),53340,0.0051,1,142.57,86.57,11.3,20041201,SAO,_2008
C/2004 X2 (LINEAR),53384,3.79308254,0.99737922,72.11791,162.21501,307.34118,20040824.33,JPL,20
C/2004 X3 (LINEAR),53419,4.40229865,1.00642698,81.07678,202.1261,343.04774,20050617.19,JPL,24
C/2004 X4 (SOHO),53343,0.0049,1,143.47,89.73,12.18,20041203.97,SAO,_2008
C/2004 X5 (SOHO),53344,0.0065,1,144.99,84.65,4.84,20041205.44,SAO,_2008
C/2004 X6 (SOHO),53346,0.007,1,140.85,94.58,18.43,20041207.14,SAO,_2008
C/2004 X8 (SOHO),53348,0.0052,1,144.22,90.75,7.14,20041209.27,SAO,_2008
C/2004 X9 (SOHO),53353,0.0054,1,144.06,84.88,6.6,20041213.67,SAO,_2008
C/2004 X10 (SOHO),53353,0.0057,1,146.26,71.94,352.06,20041213.71,SAO,_2008
C/2004 X11 (SOHO),53353,0.0048,1,145.35,70.61,349.13,20041214.25,SAO,_2008
C/2004 Y2 (SOHO),53358,0.0051,1,131.81,72.73,349.99,20041219.27,SAO,_2008
C/2004 Y3 (SOHO),53365,0.0048,1,144.69,84.18,5.17,20041225.8,SAO,_2008
C/2004 Y4 (SOHO),53365,0.0896,1,94.42,128.06,23.91,20041225.53,SAO,_2008
C/2004 Y5 (SOHO),53365,0.0048,1,144.31,70.87,350.47,20041226.39,SAO,_2008
C/2004 Y6 (SOHO),53365,0.0073,1,144.5,42.74,325.97,20041226.31,SAO,_2008
C/2004 Y7 (SOHO),53366,0.0049,1,143.73,90.25,14.41,20041226.62,SAO,_2008
C/2004 Y8 (SOHO),53366,0.007,1,140.65,72.08,349.33,20041227.37,SAO,_2008
C/2004 Y9 (SOHO),53367,0.0052,1,147.38,75.27,356.27,20041228.34,SAO,_2008
C/2004 Y10 (SOHO),53367,0.0322,1,131.61,99.02,129.68,20041228.29,SAO,_2008
C/2004 Y11 (SOHO),53368,0.0048,1,145.33,70.45,352.02,20041229.34,SAO,_2008
C/2004 Y12 (SOHO),53372,0.005,1,144.24,80.19,0.58,20050101.64,SAO,_2008
C/2004 YJ35 (LINEAR),53402,1.78120192,0.99986524,52.47641,136.89799,328.24967,20050303.15,JPL,15
C/2005 A1-A (LINEAR),53823,0.9067022,1.00064701,74.88073,271.86149,355.85648,20050410.24,JPL,24
C/2005 A2 (SOHO),53374,0.0055,1,144.27,66.3,345.46,20050104.21,SAO,_2008
C/2005 A3 (SOHO),53377,0.0067,1,133.47,55.63,327,20050107.28,SAO,_2008
C/2005 A4 (SOHO),53384,0.0067,1,138.96,62.9,337.99,20050114.34,SAO,_2008
C/2005 A5 (SOHO),53386,0.0048,1,144.05,77.25,358.6,20050115.94,SAO,_2008
C/2005 B1 (Christensen),53748,3.20493161,1.00019545,92.55117,103.18259,195.55603,20060223.57,JPL,94
C/2005 B2 (SOHO),53396,0.005,1,145.06,83.77,5.23,20050126.08,SAO,_2008
C/2005 B3 (SOHO),53398,0.0049,1,144.34,74.94,355.04,20050127.52,SAO,_2008
C/2005 B4 (SOHO),53401,0.0353,1,71.69,55.68,74.28,20050130.81,SAO,_2008
C/2005 B5 (SOHO),53393,0.0048,1,144.36,74.52,354.2,20050122.88,SAO,_2008
C/2005 B6 (SOHO),53401,0.0051,1,142.81,80.27,3.12,20050131.11,SAO,_2008
C/2005 C1 (SOHO),53403,0.0392,1,67.47,53.13,75.84,20050202.3,SAO,_2008
C/2005 C2 (SOHO),53404,0.005,1,145.85,73,354.11,20050202.74,SAO,_2008
C/2005 C3 (SOHO),53410,0.0049,1,144.8,84.7,6.45,20050208.55,SAO,_2008
C/2005 C4 (SOHO),53414,0.0391,1,40.06,36.66,7.79,20050213.31,SAO,_2008
C/2005 D1 (SOHO),53425,0.0468,1,121.76,16.46,284.06,20050223.64,SAO,_2008
C/2005 D2 (SOHO),53424,0.0066,1,144.99,78.63,3.06,20050222.68,SAO,_2008
C/2005 D3 (SOHO),53424,0.007,1,144.22,72.28,355.24,20050223.23,SAO,_2008
C/2005 D4 (SOHO),53428,0.0049,1,144.28,79.94,0.75,20050226.99,SAO,_2008
C/2005 D5 (SOHO),53429,0.0056,1,143.74,77.83,357.61,20050227.92,SAO,_2008
P/2005 E1 (Tubbiolo),53455,4.44562002,0.38470107,5.15355,170.77885,4.41482,20050318.13,JPL,12
C/2005 E2 (McNaught),53868,1.51957758,1.00013867,16.98833,39.96642,347.84732,20060223.47,JPL,84
C/2005 E3 (SOHO),53436,0.005,1,140.29,77.96,343.12,20050306.96,SAO,_2008
C/2005 E4 (SOHO),53440,0.0487,1,26.43,22.24,80.6,20050310.54,SAO,_2008
C/2005 E5 (SOHO),53442,0.0051,1,144.41,80.02,359.09,20050312.64,SAO,_2008
C/2005 E6 (SOHO),53444,0.0048,1,144.09,78.8,359.69,20050315.19,SAO,_2008
C/2005 E7 (SOHO),53444,0.0052,1,139.37,63.07,331.02,20050314.93,SAO,_2008
C/2005 E8 (SOHO),53445,0.0048,1,144.3,81.33,0.86,20050315.82,SAO,_2008
C/2005 E9 (SOHO),53444,0.005,1,143.53,89.31,358.7,20050315.28,SAO,_2008
C/2005 EL173 (LONEOS),53917,3.8863232,1.00318388,130.67668,261.49257,344.78989,20070305.9,JPL,53
